,电影,票房,单位,今日票房,单位,上映日期,上映时间,首映票房,单位
0,寻梦环游记,6.14,亿,2380.4,万,14,2017-12-07 21:35,1276.2,万
1,正义联盟,6.76,亿,499.7,万,21,2017-12-07 21:35,1,亿
2,天生不对,2414.3,万,1.5,万,28,2017-12-07 21:35,441.88,万
3,烟花,7689.3,万,115.1,万,7,2017-12-07 21:35,2507.61,万
4,这就是命,4717.8,万,411.6,万,7,2017-12-07 21:35,869.75,万
5,降魔传,9084.1,万,23.0,万,21,2017-12-07 21:35,2052.28,万
6,至暗时刻,2654.0,万,291.4,万,7,2017-12-07 21:35,271.63,万
7,维京：王者之战,1399.4,万,48.0,万,7,2017-12-07 21:35,510.87,万
8,追捕,1.05,亿,63.0,万,14,2017-12-07 21:35,2954.74,万
9,引爆者,4982.5,万,33.5,万,14,2017-12-07 21:35,1095.11,万
10,末日重启,111.4,万,7.3,万,7,2017-12-07 21:35,40.3,万
11,东方快车谋杀案,2.29,亿,33.5,万,28,2017-12-07 21:35,3276.61,万
12,七十七天,9050.1,万,93.7,万,35,2017-12-07 21:35,266.91,万
