,电影ID,电影名称,评分,累计票房,实时票房
0,242177,"""末日重启""",5.7,106.7万,5.6万
1,232577,"""狂兽""",5.7,6749.3万,0.2万
2,244235,"""七十七天""",6.9,8913.6万,68.0万
3,222372,"""追捕""",5.9,1.04亿,58.1万
4,225948,"""空难余波""",6.3,100.5万,7.4万
5,248090,"""维京：王者之战""",7.4,1360.4万,49.1万
6,227434,"""寻梦环游记""",9,5.90亿,2544.7万
7,232987,"""至暗时刻""",8.6,2323.8万,297.6万
8,237204,"""引爆者""",7.4,4942.1万,29.6万
9,249650,"""嘉年华""",8.9,2178.4万,16.2万
10,235355,"""鲨海""",6.9,39.4万,0.1万
11,233497,"""降魔传""",5.5,9060.4万,21.4万
12,70233,"""正义联盟""",7.4,6.72亿,501.3万
13,229372,"""帕丁顿熊2""",7.2,6.1万,0.0万
14,238016,"""烟花""",6,7662.2万,126.0万
15,221423,"""至爱梵高·星空之谜""",8.1,6.6万,0.0万
16,234491,"""天生不对""",6.3,2411.8万,3.2万
17,241002,"""勇往直前""",8.4,1.5万,0.0万
18,244972,"""这就是命""",7,4248.2万,402.1万
19,230908,"""夺金四贱客""",7.2,316.0万,23.7万
20,225829,"""东方快车谋杀案""",7.3,2.29亿,33.3万
